BH(m),BW(kg),KneeLength(m),Leg_Weight,Torque(Nm),Torque_category
1.7526,75,0.50292,2.22,11.65365081,M
1.7272,71,0.47244,2.19,10.87223693,M
1.6764,71,0.47752,2.13,10.55246526,M
1.7272,74,0.50292,2.22,11.33162722,M
1.778,68,0.5007,2.2,10.71910683,M
1.7145,74,0.508,2.3,11.24830643,M
1.7272,74,0.46736,2.4,11.33162722,M
1.7018,65,0.42672,2.43,9.807081986,L
1.7272,78,0.47752,2.56,11.94414761,M
1.7399,75,0.4753,2.54,11.56920407,M
1.7526,62,0.4953,2.14,9.63368467,L
1.7145,75,0.4953,2.44,11.40031058,M
1.8288,88,0.601,2.35,14.26812204,H
1.7272,72.5,0.50292,2.28,11.10193208,M
1.7272,64,0.47752,2.02,9.800326246,L
1.7272,73,0.4953,2.27,11.17849712,M
1.7018,71,0.4826,2.39,10.71235109,M
1.7399,72,0.508,2.39,11.1064359,M
1.7526,82,0.49498,2.33,12.74132489,M
1.7018,64,0.501,2.23,9.656203802,L
1.7272,70,0.4699,2.33,10.71910683,M
1.7145,69,0.4826,2.45,10.48828573,M
1.7399,61,0.49054,2.22,9.409619306,L
1.7145,70,0.4699,1.94,10.64028987,M
1.7399,60,0.4826,2.31,9.255363252,L
1.8034,72,0.5207,2.39,11.51178028,M
1.8542,75,0.5364,2.11,12.32922477,M
1.7018,69.5,0.4826,2.41,10.48603382,M
1.6891,58,0.47752,2.28,8.685629212,L
1.7145,66.3,0.4826,2.49,10.07787455,M
1.7272,69,0.48006,2.26,10.56597673,M
1.6891,73,0.4699,2.45,10.93191263,M
1.7018,71,0.47752,2.29,10.71235109,M
1.6891,56,0.4826,1.71,8.386124757,L
1.7018,67,0.4699,2.43,10.10883835,M
1.7018,59,0.46736,2.14,8.90181288,L
1.7145,67,0.4826,2.3,10.18427745,M
1.7907,63,0.45212,2.41,10.00187248,M
1.8034,75,0.53594,2.39,11.99143779,M
1.778,74,0.4826,2.58,11.66491038,M
1.7145,55,0.48768,1.89,8.360227755,L
1.778,71,0.508,2.57,11.1920086,M
1.7272,65,0.47752,2.3,9.953456344,L
1.7272,72,0.508,2.55,11.02536703,M
1.7272,58,0.4953,1.85,8.881545661,L
1.7526,73,0.4826,2.53,11.34288679,M
1.7145,56,0.4572,2,8.512231896,L
1.7145,68,0.46768,2.18,10.33628159,M
1.8034,72,0.4953,2.4,11.51178028,M
1.7018,65,0.47752,2.03,9.807081986,L
1.778,67,0.5207,2.29,10.56147291,M
1.6891,61,0.44958,2.38,9.134885896,L
1.7018,57,0.4826,1.92,8.600056511,L
1.7272,70,0.4826,1.96,10.71910683,M
1.6891,58,0.4826,2.04,8.685629212,L
1.7018,65,0.48514,2.1,9.807081986,L
1.7272,68,0.50292,2.24,10.41284664,M
1.778,65,0.4907,2.02,10.24620506,M
1.7145,63,0.4699,2.21,9.576260883,L
1.7272,63,0.4826,2.13,9.647196149,L
1.6764,55,0.4626,2.03,8.174444916,L
1.7018,72,0.47752,2.22,10.86322928,M
1.8288,81,0.5334,2.65,13.13315778,M
1.7018,68,0.4826,2.21,10.25971654,M
1.7018,68,0.49784,2.18,10.25971654,M
1.778,72,0.508,2.29,11.34964253,M
1.7272,62,0.47038,2.06,9.494066051,L
1.7399,72.7,0.4572,2.29,11.21441514,M
1.7018,72,0.47752,2.15,10.86322928,M
1.8034,80,0.5334,2.61,12.79086698,M
1.7272,74,0.50546,2.26,11.33162722,M
1.7272,78,0.49276,2.27,11.94414761,M
1.7018,64,0.4699,2.32,9.656203802,L
1.7018,65,0.4953,2.11,9.807081986,L
1.7526,77,0.5207,2.34,11.96441483,M
1.7272,80,0.46736,2.57,12.25040781,M
1.8161,68,0.50546,2.26,10.94880198,M
1.7018,74,0.48228,2.13,11.16498565,M
1.7272,55,0.4826,2.04,8.422155368,L
1.7272,73,0.49022,2.29,11.17849712,M
1.7272,71,0.4826,2.29,10.87223693,M
1.6764,70,0.4826,2.31,10.40383898,M
1.7272,66,0.4826,2.29,10.10658644,M
1.6764,59,0.4572,2.07,8.768950001,L
1.7272,64,0.47752,2.28,9.800326246,L
1.6891,64,0.47752,2.34,9.584142579,L
1.7018,67,0.50292,2.28,10.10883835,M
1.7272,72,0.49276,2.52,11.02536703,M
1.7018,67,0.4826,2.32,10.10883835,M
1.7272,67,0.50292,2.36,10.25971654,M
1.7145,67,0.4826,2.34,10.18427745,M
1.7526,72,0.50038,2.38,11.18750478,M
1.7018,80,0.50292,2.62,12.07025475,M
1.7272,65,0.47752,2.25,9.953456344,L
1.7399,76,0.4699,2.29,11.72346012,M
1.8288,76.5,0.508,2.43,12.40353791,M
1.6764,68,0.4699,2.03,10.10658644,M
1.7145,67,0.50038,2.28,10.18427745,M
1.7018,68,0.48768,2.41,10.25971654,M
1.7526,70,0.4826,2.48,10.87674076,M
1.524,52,0.4623,1.67,7.025969184,L
1.524,50,0.4723,1.57,6.7557396,L
1.524,56,0.4623,1.67,7.566428352,L
1.524,58,0.4823,1.67,7.836657936,L
1.524,53,0.4923,1.57,7.161083976,L
1.5494,56,0.4623,1.67,7.692535491,L
1.5494,64,0.4923,1.72,8.791469133,L
1.5494,69,0.4823,2.07,9.478302659,L
1.5494,59,0.4723,2.01,8.104635607,L
1.5494,60,0.4993,1.67,8.242002312,L
1.5748,73,0.4973,1.97,10.19215914,M
1.5748,71,0.5073,1.97,9.912921906,L
1.5748,70,0.4973,2.07,9.773303288,L
1.5748,69,0.4973,1.97,9.63368467,L
1.5748,67,0.4873,1.93,9.354447433,L
1.5748,66,0.4823,1.91,9.214828814,L
1.6002,76,0.4973,2.07,10.7821604,M
1.6002,75,0.4955,1.97,10.64028987,M
1.6002,69,0.4923,1.97,9.78906668,L
1.6002,67,0.4873,1.96,9.505325617,L
1.6002,65,0.4773,2.07,9.221584554,L
1.6256,62,0.4673,2.09,8.935591578,L
1.6256,70,0.4873,1.97,10.08857114,M
1.6256,72,0.4993,1.99,10.37681603,M
1.6256,68,0.4953,2.14,9.800326246,L
1.6256,67,0.4983,1.97,9.656203802,L
1.6256,66,0.4993,1.95,9.512081357,L
1.6256,62,0.4973,1.86,8.935591578,L
1.651,59,0.4983,1.76,8.636087122,L
1.651,68,0.4973,1.96,9.953456344,L
1.651,73,0.4983,2.06,10.68532813,M
1.651,63,0.4963,1.96,9.221584554,L
1.651,66,0.4973,2.06,9.660707628,L
1.651,61,0.4993,1.9,8.928835838,L
1.651,71,0.4973,2.16,10.39257942,M
1.651,69,0.4883,1.96,10.0998307,M
1.651,68,0.4973,1.96,9.953456344,L
1.3716,56,0.4321,1.54,6.809785517,L
1.3716,62,0.4321,1.74,7.539405394,L
1.3716,57,0.4321,1.54,6.93138883,L
1.3716,58,0.4421,1.54,7.052992142,L
1.3716,59,0.4321,1.74,7.174595455,L
1.3716,60,0.4521,1.84,7.296198768,L
1.3716,59,0.4421,1.64,7.174595455,L
1.3716,59,0.4321,1.54,7.174595455,L
1.3716,58,0.4361,1.59,7.052992142,L
1.3716,58,0.4421,1.74,7.052992142,L
1.3716,63,0.4321,1.69,7.661008706,L
1.3716,52,0.4721,1.34,6.323372266,L
1.3716,54,0.4321,1.54,6.566578891,L
1.3716,54,0.4391,1.59,6.566578891,L
1.3716,55,0.4421,1.54,6.688182204,L
1.397,52,0.4321,1.56,6.440471752,L
1.397,55,0.4321,1.54,6.81203743,L
1.397,55,0.4271,1.61,6.81203743,L
1.397,57,0.4271,1.63,7.059747882,L
1.397,57,0.4271,1.81,7.059747882,L
1.397,57,0.4471,1.74,7.059747882,L
1.397,59,0.4271,1.64,7.307458334,L
1.397,64,0.4371,1.69,7.926734464,L
1.397,63,0.4271,1.84,7.802879238,L
1.397,57,0.4371,1.8,7.059747882,L
1.397,58,0.4471,1.64,7.183603108,L
1.397,56,0.4371,1.54,6.935892656,L
1.397,53,0.4271,1.64,6.564326978,L
1.397,52,0.4161,1.61,6.440471752,L
1.397,53,0.4451,1.64,6.564326978,L
1.4224,56,0.4641,1.6,7.061999795,L
1.4224,69,0.4531,1.74,8.701392605,L
1.4224,53,0.4561,1.61,6.683678378,L
1.4224,52,0.4461,1.54,6.557571238,L
1.4224,51,0.4401,1.51,6.431464099,L
1.4224,57,0.4301,1.64,7.188106934,L
1.4224,57,0.4401,1.66,7.188106934,L
1.4224,59,0.4301,1.74,7.440321213,L
1.4224,60,0.4401,1.84,7.566428352,L
1.4224,60,0.4501,1.81,7.566428352,L
1.4224,57,0.4308,1.74,7.188106934,L
1.4224,59,0.4207,1.69,7.440321213,L
1.4224,59,0.4306,1.8,7.440321213,L
1.4224,58,0.4205,1.75,7.314214074,L
1.4224,58,0.4405,1.84,7.314214074,L
1.4224,53,0.4304,1.74,6.683678378,L
1.4478,60,0.4103,1.76,7.701543144,L
1.4478,61,0.4202,1.85,7.829902196,L
1.4478,49,0.4302,1.51,6.289593568,L
1.4478,57,0.4403,1.64,7.316465987,L
1.4478,53,0.4504,1.54,6.803029777,L
1.4478,52,0.4205,1.64,6.674670725,L
1.4478,52,0.4206,1.66,6.674670725,L
1.4478,56,0.4307,1.69,7.188106934,L
1.4478,63,0.4408,1.76,8.086620301,L
1.4478,63,0.4109,1.84,8.086620301,L
1.4478,62,0.4101,1.81,7.958261249,L
1.4478,62,0.4201,1.89,7.958261249,L
1.4478,58,0.4308,1.79,7.444825039,L
1.4478,58,0.4409,1.71,7.444825039,L
1.4478,59,0.4507,1.71,7.573184092,L
1.4478,60,0.4306,1.79,7.701543144,L
1.4732,62,0.4405,1.89,8.097879867,L
1.4732,62,0.4204,1.89,8.097879867,L
1.4732,63,0.4203,1.79,8.228490833,L
1.4732,52,0.4302,1.59,6.791770211,L
1.4732,52,0.4202,1.69,6.791770211,L
1.4732,54,0.4201,1.73,7.052992142,L
1.4732,54,0.4203,1.74,7.052992142,L
1.4732,54,0.4205,1.79,7.052992142,L
1.4732,55,0.4204,1.79,7.183603108,L
1.4732,55,0.4206,1.71,7.183603108,L
1.4732,55,0.4207,1.69,7.183603108,L
1.4732,57,0.4308,1.79,7.444825039,L
1.4732,57,0.4209,1.79,7.444825039,L
1.4732,59,0.4401,1.72,7.70604697,L
1.4732,60,0.4302,1.89,7.836657936,L
1.4986,70,0.4506,2.09,9.300401516,L
1.4986,49,0.4203,1.59,6.510281061,L
1.4986,49,0.4304,1.48,6.510281061,L
1.4986,54,0.4305,1.64,7.174595455,L
1.4986,54,0.4202,1.79,7.174595455,L
1.4986,60,0.4203,1.89,7.971772728,L
1.4986,60,0.4304,1.82,7.971772728,L
1.4986,58,0.4405,1.79,7.70604697,L
1.4986,58,0.4306,1.81,7.70604697,L
